Zeit,Temperatur,Luftfeuchte,Windgeschwindigkeit,Niederschlagsmenge,Regen
2016-10-17 17:59,7.7,88,3.6,504,0
2016-10-17 17:58,7.7,88,3.6,504,0
2016-10-17 17:56,7.7,88,3.6,504,0
2016-10-17 17:55,7.7,88,3.6,504,0
2016-10-17 17:53,7.7,88,3.6,504,0
2016-10-17 17:52,7.7,88,3.6,504,0
2016-10-17 17:51,7.7,88,3.6,504,0
2016-10-17 17:47,7.7,88,4.1,504,0
2016-10-17 17:46,7.7,88,4.1,504,0
2016-10-17 17:44,7.7,88,4.1,504,0
2016-10-17 17:43,7.7,88,4.1,504,0
2016-10-17 17:41,7.7,88,4.1,504,0
2016-10-17 17:40,7.7,88,4.1,504,0
2016-10-17 17:38,7.7,88,4.1,504,0
2016-10-17 16:54,7.9,88,3.8,504,0
2016-10-17 16:53,7.9,88,3.8,504,0
2016-10-17 16:51,7.9,88,3.8,504,0
2016-10-17 16:50,7.9,88,3.8,504,0
2016-10-17 16:48,7.9,88,3.8,504,0
2016-10-17 16:47,7.9,88,3.8,504,0
2016-10-17 16:45,7.9,88,3.8,504,0
2016-10-17 11:50,7,93,1.3,504,0
2016-10-17 11:50,7,93,1.3,504,0
2016-10-17 11:44,7,93,1.3,504,0
2016-10-17 11:44,7,93,1.3,504,0
2016-10-17 11:42,7,93,1.3,504,0
2016-10-17 04:59,7,95,5,504,0
2016-10-17 04:57,7,95,5,504,0
2016-10-17 04:56,7,95,5,504,0
2016-10-16 23:56,7.9,93,4.1,504,0
2016-10-16 23:41,7.9,93,3.6,504,0
2016-10-16 07:51,7,94,5,504,0
2016-10-16 07:51,7,94,5,504,0
2016-10-16 07:48,7,94,5,504,0
2016-10-16 07:48,7,94,5,504,0
2016-10-16 07:45,7,94,5,504,0
2016-10-16 07:45,7,94,5,504,0
2016-10-16 07:42,7,94,5,504,0
2016-10-16 07:42,7,94,5,504,0
2016-10-15 17:27,9.9,88,4.4,502,0
2016-10-15 17:26,9.9,88,4.4,502,0
2016-10-15 17:26,9.9,88,4.4,502,0
2016-10-15 08:56,6.6,85,9.1,497,0
2016-10-15 08:54,6.6,85,9.1,497,0
2016-10-15 08:53,6.6,85,9.1,497,0
2016-10-15 08:51,6.6,85,9.1,497,0
2016-10-15 08:51,6.6,85,9.1,497,0
2016-10-15 07:43,6.6,85,5.8,497,0
2016-10-15 07:43,6.6,85,5.8,497,0
2016-10-15 07:40,6.6,85,5.8,497,0
2016-10-15 07:40,6.6,85,5.8,497,0
2016-10-15 07:37,6.6,85,5.8,497,0
2016-10-15 07:36,6.6,85,5.8,497,0
2016-10-15 07:31,6.6,85,7.7,497,0
2016-10-15 07:26,6.6,85,7.7,497,0
2016-10-15 05:30,6.7,84,7.7,497,0
2016-10-15 05:28,6.7,84,7.7,497,0
2016-10-15 05:27,6.7,84,7.7,497,0
2016-10-15 05:25,6.7,84,7.7,497,0
2016-10-15 05:22,6.7,84,7.7,497,0
2016-10-15 04:52,6.7,84,8.3,497,0
2016-10-15 04:50,6.7,84,8.3,497,0
2016-10-15 04:49,6.7,84,8.3,497,0
2016-10-15 04:47,6.7,84,8.3,497,0
2016-10-15 04:46,6.7,84,8.3,497,0
2016-10-15 04:43,6.7,84,8.3,497,0
2016-10-15 00:45,7.2,81,7.7,497,0
2016-10-15 00:41,7.2,81,7.7,497,0
2016-10-15 00:40,7.2,81,7.7,497,0
2016-10-15 00:38,7.2,81,7.7,497,0
2016-10-15 00:37,7.2,81,7.7,497,0
2016-10-14 23:00,8,78,8,497,0
2016-10-14 23:00,8,78,8,497,0
2016-10-14 22:58,8,78,8,497,0
2016-10-14 22:54,8,78,8,497,0
2016-10-14 22:52,8,78,8,497,0
2016-10-14 21:44,8.5,75,8.3,497,0
2016-10-14 21:43,8.5,75,8.3,497,0
2016-10-14 21:41,8.5,75,8.3,497,0
2016-10-14 21:40,8.5,75,8.3,497,0
2016-10-14 21:38,8.5,75,8.3,497,0
2016-10-14 21:37,8.5,75,8.3,497,0
2016-10-14 21:36,8.5,75,8.3,497,0
2016-10-14 20:18,9.3,74,9.7,497,0
2016-10-14 20:18,9.3,74,9.7,497,0
2016-10-14 20:15,9.3,74,9.7,497,0
2016-10-14 20:12,9.3,74,9.7,497,0
2016-10-14 20:01,9.4,74,10.5,497,0
2016-10-14 20:00,9.4,74,10.5,497,0
2016-10-14 19:58,9.4,74,10.5,497,0
2016-10-14 19:46,9.3,75,7.5,497,0
2016-10-14 19:45,9.3,75,7.5,497,0
2016-10-14 19:43,9.3,75,7.5,497,0
2016-10-14 19:42,9.3,75,7.5,497,0
2016-10-14 19:40,9.3,75,7.5,497,0
2016-10-14 19:40,9.3,75,7.5,497,0
2016-10-14 19:37,9.3,75,7.5,497,0
2016-10-14 19:37,9.3,75,7.5,497,0
2016-10-14 17:12,11.2,66,8.3,497,0
2016-10-14 17:12,11.2,66,8.3,497,0
2016-10-14 17:10,11.2,66,8.3,497,0
2016-10-14 14:54,11.3,63,12.5,497,0
2016-10-14 14:54,11.3,63,12.5,497,0
2016-10-14 14:51,11.3,63,12.5,497,0
2016-10-14 14:51,11.3,63,12.5,497,0
2016-10-14 14:48,11.3,63,12.5,497,0
2016-10-14 14:48,11.3,63,12.5,497,0
2016-10-14 14:47,11.3,63,12.5,497,0
2016-10-14 14:33,11.2,64,48,497,0
2016-10-14 14:31,11.2,64,48,497,0
2016-10-14 14:30,11.2,64,48,497,0
2016-10-14 14:28,11.2,64,48,497,0
2016-10-14 14:25,11.2,64,48,497,0
2016-10-14 14:24,11.2,64,48,497,0
2016-10-14 14:24,11.2,64,48,497,0
2016-10-14 13:47,10.9,64,15.2,497,0
2016-10-14 13:46,10.9,64,15.2,497,0
2016-10-14 13:44,10.9,64,15.2,497,0
2016-10-14 13:43,10.9,64,15.2,497,0
2016-10-14 13:41,10.9,64,15.2,497,0
2016-10-14 13:40,10.9,64,15.2,497,0
2016-10-14 13:38,10.9,64,15.2,497,0
2016-10-14 13:38,11,64,10,497,0
2016-10-14 13:37,11,64,10,497,0
2016-10-14 13:35,11,64,10,497,0
2016-10-14 13:34,11,64,10,497,0
2016-10-14 13:32,11,64,10,497,0
2016-10-14 13:31,11,64,10,497,0
2016-10-14 13:31,11,64,10,497,0
2016-10-14 12:54,9.5,71,12.7,497,0
2016-10-14 12:53,9.5,71,12.7,497,0
2016-10-14 12:51,9.5,71,12.7,497,0
2016-10-14 12:50,9.5,71,12.7,497,0
2016-10-14 12:48,9.5,71,12.7,497,0
2016-10-14 12:47,9.5,71,12.7,497,0
2016-10-14 12:45,9.5,71,12.7,497,0
2016-10-14 12:00,8,75,6.6,497,0
2016-10-14 11:58,8,75,6.6,497,0
2016-10-14 11:55,8,75,6.6,497,0
2016-10-14 11:52,8,75,6.6,497,0
2016-10-14 11:51,8,75,6.6,497,0
2016-10-14 11:28,7.2,77,11.3,497,0
2016-10-14 11:27,7.2,77,11.3,497,0
2016-10-14 11:26,7.2,77,11.3,497,0
2016-10-14 10:58,6.1,79,8.6,497,0
2016-10-14 10:56,6.1,79,8.6,497,0
2016-10-14 10:55,6.1,79,8.6,497,0
2016-10-14 10:53,6.1,79,8.6,497,0
2016-10-14 10:52,6.1,79,8.6,497,0
2016-10-14 10:50,6.1,79,8.6,497,0
2016-10-14 10:49,6.1,79,8.6,497,0
2016-10-14 10:48,6.1,79,8.6,497,0
2016-10-14 10:35,5.7,81,6.3,497,0
2016-10-14 10:34,5.7,81,6.3,497,0
2016-10-14 10:32,5.7,81,6.3,497,0
2016-10-14 10:31,5.7,81,6.3,497,0
2016-10-14 10:28,5.7,81,6.3,497,0
2016-10-14 10:28,5.7,81,6.3,497,0
2016-10-14 10:06,5.2,83,10.8,496,0
